node_id, total_out, total_in, pos_in, neg_in, pos_out,neg_out
0, 1, 0, 0, 0, 0, 1
1, 1, 2, 1, 1, 0, 1
128552, 0, 1, 0, 1, 0, 0
2, 1, 1, 1, 0, 1, 0
3, 0, 4, 4, 0, 0, 0
4, 14, 1, 1, 0, 9, 5
5, 989, 1356, 1222, 134, 498, 491
155, 472, 440, 388, 52, 410, 62
558, 17, 400, 322, 78, 17, 0
1509, 174, 265, 190, 75, 58, 116
2282, 285, 726, 707, 19, 154, 131
2984, 53, 146, 127, 19, 29, 24
7263, 8, 6, 5, 1, 8, 0
10876, 51, 80, 65, 15, 51, 0
48703, 21, 16, 13, 3, 21, 0
51253, 13, 5, 5, 0, 13, 0
87217, 12, 33, 33, 0, 11, 1
98617, 0, 2, 2, 0, 0, 0
100981, 2, 2, 2, 0, 1, 1
101858, 0, 1, 1, 0, 0, 0
8, 0, 47, 1, 46, 0, 0
20, 970, 841, 789, 52, 967, 3
50, 134, 216, 210, 6, 127, 7
52, 254, 397, 349, 48, 127, 127
183, 23, 85, 80, 5, 12, 11
197, 82, 249, 241, 8, 81, 1
245, 103, 188, 184, 4, 76, 27
264, 56, 347, 30, 317, 55, 1
302, 79, 125, 120, 5, 75, 4
311, 196, 333, 323, 10, 70, 126
317, 224, 465, 444, 21, 212, 12
350, 85, 150, 145, 5, 76, 9
361, 93, 292, 282, 10, 57, 36
410, 534, 712, 543, 169, 52, 482
430, 273, 626, 559, 67, 60, 213
450, 476, 1289, 1246, 43, 426, 50
453, 391, 658, 631, 27, 173, 218
481, 97, 304, 278, 26, 90, 7
532, 149, 593, 484, 109, 71, 78
544, 267, 386, 363, 23, 189, 78
655, 1236, 814, 701, 113, 43, 1193
671, 401, 474, 444, 30, 337, 64
691, 409, 499, 481, 18, 123, 286
727, 172, 263, 259, 4, 76, 96
731, 105, 175, 172, 3, 95, 10
744, 102, 652, 580, 72, 6, 96
819, 57, 257, 244, 13, 45, 12
851, 524, 1176, 1139, 37, 451, 73
855, 475, 847, 786, 61, 224, 251
865, 204, 605, 172, 433, 145, 59
904, 294, 425, 416, 9, 281, 13
913, 220, 725, 704, 21, 138, 82
931, 234, 684, 664, 20, 157, 77
966, 1508, 723, 651, 72, 291, 1217
974, 179, 174, 169, 5, 145, 34
999, 38, 60, 56, 4, 37, 1
1003, 413, 648, 590, 58, 82, 331
1005, 0, 113, 2, 111, 0, 0
1017, 203, 339, 310, 29, 125, 78
1037, 391, 540, 517, 23, 381, 10
1090, 109, 291, 278, 13, 30, 79
1118, 1171, 484, 348, 136, 34, 1137
1119, 98, 456, 251, 205, 98, 0
1229, 96, 127, 118, 9, 96, 0
1262, 117, 188, 97, 91, 69, 48
1268, 46, 60, 34, 26, 37, 9
1269, 182, 204, 180, 24, 182, 0
1278, 229, 295, 277, 18, 224, 5
1287, 517, 867, 842, 25, 517, 0
1289, 149, 388, 381, 7, 146, 3
1296, 284, 479, 458, 21, 224, 60
1304, 161, 84, 81, 3, 147, 14
1305, 134, 176, 165, 11, 106, 28
1306, 513, 278, 266, 12, 183, 330
1321, 419, 868, 846, 22, 363, 56
1327, 222, 292, 280, 12, 174, 48
1328, 231, 708, 701, 7, 221, 10
1331, 94, 76, 69, 7, 69, 25
1334, 359, 1067, 1040, 27, 125, 234
1336, 150, 195, 182, 13, 135, 15
1352, 567, 1297, 1190, 107, 476, 91
1438, 404, 394, 372, 22, 371, 33
1441, 274, 392, 374, 18, 240, 34
1444, 452, 302, 300, 2, 219, 233
1450, 81, 140, 125, 15, 81, 0
1456, 251, 289, 270, 19, 244, 7
1463, 150, 140, 139, 1, 150, 0
1466, 282, 255, 238, 17, 181, 101
1469, 109, 196, 188, 8, 108, 1
1478, 210, 162, 161, 1, 186, 24
1480, 662, 893, 835, 58, 585, 77
1485, 258, 294, 280, 14, 249, 9
1486, 184, 278, 255, 23, 130, 54
1487, 249, 263, 245, 18, 248, 1
1488, 253, 567, 547, 20, 185, 68
1491, 217, 99, 69, 30, 2, 215
1492, 224, 613, 601, 12, 193, 31
1493, 217, 413, 377, 36, 172, 45
1495, 201, 476, 469, 7, 181, 20
1502, 222, 748, 727, 21, 209, 13
1506, 65, 68, 62, 6, 64, 1
1511, 116, 282, 226, 56, 116, 0
1512, 539, 198, 172, 26, 110, 429
1541, 94, 244, 232, 12, 75, 19
1578, 165, 272, 201, 71, 145, 20
1605, 423, 546, 522, 24, 419, 4
1611, 113, 107, 85, 22, 107, 6
1622, 229, 76, 56, 20, 192, 37
1638, 14, 13, 13, 0, 14, 0
1652, 1736, 629, 518, 111, 174, 1562
1682, 1224, 925, 747, 178, 104, 1120
1687, 381, 297, 273, 24, 304, 77
1707, 148, 129, 126, 3, 138, 10
1713, 17, 237, 157, 80, 15, 2
1741, 42, 66, 33, 33, 24, 18
1750, 35, 81, 69, 12, 25, 10
1818, 71, 80, 57, 23, 71, 0
1819, 99, 351, 311, 40, 99, 0
1829, 53, 134, 115, 19, 27, 26
1831, 201, 269, 201, 68, 185, 16
1834, 2, 41, 23, 18, 2, 0
1853, 0, 114, 8, 106, 0, 0
1864, 83, 142, 137, 5, 57, 26
1865, 171, 617, 602, 15, 145, 26
1867, 52, 326, 309, 17, 46, 6
1869, 131, 274, 271, 3, 57, 74
1882, 323, 512, 445, 67, 107, 216
1894, 549, 490, 353, 137, 21, 528
1937, 137, 343, 332, 11, 137, 0
1953, 59, 97, 91, 6, 53, 6
1970, 335, 579, 566, 13, 318, 17
2040, 227, 371, 365, 6, 171, 56
2116, 107, 639, 563, 76, 105, 2
2133, 146, 210, 191, 19, 116, 30
2183, 803, 476, 343, 133, 96, 707
2193, 166, 176, 167, 9, 134, 32
2197, 79, 101, 99, 2, 79, 0
2243, 250, 160, 121, 39, 250, 0
2261, 18, 254, 247, 7, 6, 12
2268, 134, 235, 234, 1, 133, 1
2271, 175, 402, 396, 6, 175, 0
2278, 26, 56, 46, 10, 25, 1
2286, 204, 353, 330, 23, 107, 97
2287, 198, 458, 439, 19, 172, 26
2293, 130, 1492, 1464, 28, 109, 21
2339, 241, 333, 309, 24, 213, 28
2347, 65, 55, 50, 5, 63, 2
2355, 283, 221, 213, 8, 214, 69
2358, 545, 143, 136, 7, 545, 0
2363, 163, 1073, 1027, 46, 110, 53
2475, 3, 543, 3, 540, 1, 2
2486, 285, 186, 180, 6, 139, 146
2505, 351, 390, 359, 31, 98, 253
2547, 12, 29, 24, 5, 11, 1
2550, 257, 291, 270, 21, 257, 0
2557, 354, 393, 371, 22, 201, 153
2579, 137, 534, 516, 18, 82, 55
2657, 94, 116, 112, 4, 78, 16
2677, 171, 518, 507, 11, 119, 52
2719, 64, 38, 35, 3, 58, 6
2723, 0, 26, 14, 12, 0, 0
2738, 281, 605, 592, 13, 261, 20
2755, 157, 58, 32, 26, 157, 0
2772, 52, 51, 49, 2, 32, 20
2776, 1, 18, 2, 16, 1, 0
2842, 404, 516, 507, 9, 125, 279
2850, 77, 47, 46, 1, 75, 2
2947, 136, 204, 193, 11, 105, 31
2971, 36, 75, 71, 4, 33, 3
2995, 50, 21, 16, 5, 47, 3
3103, 82, 138, 128, 10, 81, 1
3133, 222, 435, 425, 10, 213, 9
3137, 142, 361, 357, 4, 95, 47
3141, 135, 383, 369, 14, 135, 0
3142, 114, 119, 113, 6, 64, 50
3144, 269, 526, 473, 53, 127, 142
3167, 137, 155, 144, 11, 133, 4
3168, 131, 468, 461, 7, 119, 12
3171, 101, 503, 488, 15, 62, 39
3172, 46, 134, 90, 44, 46, 0
3177, 582, 337, 277, 60, 177, 405
3194, 130, 221, 217, 4, 66, 64
3201, 119, 319, 314, 5, 65, 54
3205, 82, 601, 564, 37, 35, 47
3210, 154, 313, 306, 7, 135, 19
3211, 225, 196, 179, 17, 56, 169
3216, 81, 84, 83, 1, 81, 0
3230, 141, 159, 149, 10, 93, 48
3244, 360, 383, 374, 9, 327, 33
3249, 789, 482, 438, 44, 176, 613
3277, 246, 286, 276, 10, 141, 105
3325, 67, 60, 57, 3, 58, 9
3338, 180, 349, 336, 13, 117, 63
3339, 97, 236, 229, 7, 84, 13
3343, 238, 666, 640, 26, 236, 2
3358, 392, 434, 418, 16, 342, 50
3372, 126, 66, 66, 0, 120, 6
3396, 33, 43, 40, 3, 32, 1
3438, 166, 394, 366, 28, 62, 104
3615, 265, 265, 262, 3, 150, 115
3619, 304, 226, 204, 22, 195, 109
3723, 178, 523, 504, 19, 150, 28
3751, 132, 94, 92, 2, 65, 67
3760, 119, 124, 119, 5, 89, 30
3762, 53, 214, 210, 4, 37, 16
3763, 135, 239, 236, 3, 116, 19
3798, 38, 31, 10, 21, 33, 5
3802, 224, 213, 205, 8, 181, 43
3835, 23, 63, 60, 3, 19, 4
3838, 40, 84, 47, 37, 34, 6
3845, 372, 248, 242, 6, 161, 211
3847, 397, 465, 451, 14, 320, 77
3876, 89, 69, 64, 5, 81, 8
3879, 324, 411, 399, 12, 306, 18
3890, 306, 1077, 989, 88, 185, 121
3903, 206, 284, 278, 6, 87, 119
3904, 87, 129, 120, 9, 80, 7
3905, 238, 274, 266, 8, 106, 132
3923, 96, 44, 44, 0, 95, 1
4080, 240, 451, 396, 55, 190, 50
4167, 146, 503, 481, 22, 145, 1
4173, 91, 111, 90, 21, 85, 6
4192, 59, 93, 90, 3, 57, 2
4232, 142, 155, 151, 4, 139, 3
4234, 109, 103, 100, 3, 85, 24
4308, 203, 318, 296, 22, 80, 123
