node_id, total_out, total_in, pos_in, neg_in, pos_out,neg_out
Hermione1980, 64, 14, 11, 3, 49, 15
JIP, 29, 177, 168, 9, 29, 0
Shimgray, 34, 39, 29, 10, 34, 0
Gkhan (page does not exist), 0, 18, 14, 4, 0, 0
Merovingian, 1, 626, 609, 17, 0, 1
Titoxd, 78, 177, 161, 16, 76, 2
Celestianpower, 78, 143, 133, 10, 69, 9
CambridgeBayWeather, 46, 99, 97, 2, 44, 2
Journalist, 85, 188, 173, 15, 84, 1
Aranda56 (page does not exist), 0, 207, 198, 9, 0, 0
Redwolf24, 12, 124, 115, 9, 8, 4
Dmcdevit, 42, 83, 68, 15, 39, 3
Albus Dumbledore (page does not exist), 0, 1, 1, 0, 0, 0
Chosen One, 0, 1, 1, 0, 0, 0
Draco Malfoy (page does not exist), 0, 1, 1, 0, 0, 0
Mikkalai, 1, 11, 5, 6, 0, 1
Tabor, 0, 3, 3, 0, 0, 0
Aquillion, 0, 11, 10, 1, 0, 0
Sjakkalle, 48, 302, 242, 60, 47, 1
Gadfium, 25, 67, 64, 3, 25, 0
Nandesuka, 59, 18, 15, 3, 40, 19
FireFox, 96, 198, 196, 2, 93, 3
Carbonite, 25, 56, 47, 9, 25, 0
Biekko (page does not exist), 0, 21, 21, 0, 0, 0
El C, 0, 299, 271, 28, 0, 0
The wub, 0, 161, 140, 21, 0, 0
Radiant!, 0, 109, 69, 40, 0, 0
Haukurth, 62, 74, 55, 19, 54, 8
Redvers, 117, 40, 35, 5, 116, 1
Borisblue, 54, 22, 17, 5, 51, 3
Friday, 49, 50, 39, 11, 42, 7
Y0u, 11, 26, 26, 0, 11, 0
Ral315, 29, 120, 93, 27, 28, 1
Drini, 64, 60, 58, 2, 64, 0
Tony Sidaway, 0, 40, 35, 5, 0, 0
Evilphoenix, 34, 25, 13, 12, 34, 0
Sonic Mew, 0, 3, 3, 0, 0, 0
Unfocused, 0, 23, 21, 2, 0, 0
Rogerd, 61, 354, 273, 81, 60, 1
Splash, 84, 94, 73, 21, 77, 7
Encephalon, 141, 81, 79, 2, 133, 8
Who, 97, 34, 32, 2, 86, 11
Kirill Lokshin, 0, 192, 182, 10, 0, 0
Lupin, 34, 11, 10, 1, 17, 17
Shauri, 56, 29, 26, 3, 45, 11
R.D.H. (Ghost In The Machine), 0, 58, 52, 6, 0, 0
Szyslak, 0, 33, 31, 2, 0, 0
Lord Voldemort, 0, 30, 25, 5, 0, 0
Xoloz, 162, 360, 255, 105, 149, 13
Katefan0, 74, 17, 16, 1, 64, 10
Thatdog, 0, 8, 8, 0, 0, 0
NSR, 0, 5, 5, 0, 0, 0
MONGO, 86, 494, 362, 132, 51, 35
Astrotrain (page does not exist), 0, 43, 29, 14, 0, 0
Private Butcher, 0, 121, 104, 17, 0, 0
Freestylefrappe, 54, 72, 46, 26, 36, 18
Filiocht, 0, 28, 23, 5, 0, 0
WikiFanatic (page does not exist), 0, 31, 25, 6, 0, 0
Gamaliel, 26, 28, 10, 18, 20, 6
Hall Monitor, 0, 103, 96, 7, 0, 0
Alkivar, 88, 110, 84, 26, 63, 25
