node_id, total_out, total_in, pos_in, neg_in, pos_out,neg_out
3, 25, 31, 28, 3, 23, 0
30, 5, 27, 22, 1, 3, 2
25, 98, 0, 0, 0, 59, 31
4, 29, 0, 0, 0, 10, 19
5, 24, 0, 0, 0, 22, 1
6, 306, 20, 19, 1, 253, 48
7, 24, 0, 0, 0, 19, 5
8, 194, 49, 25, 19, 161, 21
9, 87, 0, 0, 0, 72, 8
10, 92, 19, 9, 6, 72, 14
26, 104, 0, 0, 0, 88, 7
27, 106, 0, 0, 0, 87, 14
28, 140, 128, 86, 33, 110, 22
11, 802, 0, 0, 0, 698, 45
12, 66, 0, 0, 0, 51, 14
13, 11, 0, 0, 0, 8, 3
14, 116, 0, 0, 0, 99, 15
29, 155, 43, 39, 2, 137, 13
15, 51, 370, 249, 112, 40, 10
16, 15, 0, 0, 0, 15, 0
17, 52, 0, 0, 0, 40, 5
18, 13, 0, 0, 0, 8, 4
19, 39, 22, 19, 3, 39, 0
20, 190, 0, 0, 0, 152, 35
21, 76, 0, 0, 0, 74, 2
22, 2, 0, 0, 0, 2, 0
23, 75, 22, 21, 1, 49, 25
24, 310, 0, 0, 0, 266, 43
54, 7, 40, 40, 0, 7, 0
33, 25, 34, 32, 2, 22, 2
34, 5, 21, 13, 7, 4, 1
36, 227, 34, 34, 0, 223, 4
35, 67, 111, 110, 0, 64, 1
37, 22, 0, 0, 0, 19, 1
38, 16, 17, 14, 0, 12, 2
39, 42, 31, 18, 10, 40, 0
40, 12, 0, 0, 0, 10, 1
41, 35, 0, 0, 0, 28, 2
42, 90, 0, 0, 0, 84, 5
43, 4, 0, 0, 0, 4, 0
44, 44, 0, 0, 0, 42, 2
45, 8, 0, 0, 0, 6, 2
46, 59, 0, 0, 0, 57, 2
47, 149, 0, 0, 0, 106, 40
48, 21, 0, 0, 0, 17, 4
49, 16, 23, 20, 2, 12, 3
50, 14, 34, 31, 1, 12, 2
51, 25, 0, 0, 0, 14, 10
52, 1, 0, 0, 0, 1, 0
53, 42, 0, 0, 0, 24, 15
61, 0, 22, 20, 0, 0, 0
55, 65, 68, 64, 3, 51, 13
56, 27, 161, 105, 43, 20, 4
57, 13, 0, 0, 0, 12, 1
58, 38, 0, 0, 0, 31, 7
59, 105, 0, 0, 0, 94, 0
60, 9, 0, 0, 0, 9, 0
62, 17, 0, 0, 0, 10, 7
63, 1, 0, 0, 0, 1, 0
64, 1, 10, 0, 9, 1, 0
65, 2, 0, 0, 0, 2, 0
66, 46, 0, 0, 0, 38, 6
71, 124, 0, 0, 0, 66, 43
72, 172, 177, 58, 92, 105, 58
73, 18, 0, 0, 0, 10, 3
75, 32, 72, 61, 8, 17, 14
76, 4, 0, 0, 0, 2, 0
78, 43, 0, 0, 0, 25, 16
79, 54, 0, 0, 0, 26, 26
77, 25, 0, 0, 0, 23, 2
80, 59, 45, 39, 4, 55, 4
81, 18, 0, 0, 0, 3, 15
82, 2, 0, 0, 0, 1, 0
83, 8, 0, 0, 0, 8, 0
91, 2, 0, 0, 0, 1, 1
67, 18, 0, 0, 0, 13, 4
84, 1, 0, 0, 0, 1, 0
85, 1, 0, 0, 0, 1, 0
86, 125, 111, 106, 2, 93, 29
87, 211, 0, 0, 0, 157, 38
88, 1, 0, 0, 0, 0, 1
89, 32, 16, 16, 0, 21, 8
90, 74, 0, 0, 0, 62, 10
93, 1, 18, 6, 11, 1, 0
92, 5, 0, 0, 0, 5, 0
94, 82, 34, 3, 24, 15, 65
95, 3, 49, 17, 22, 2, 0
99, 24, 0, 0, 0, 15, 9
96, 2, 0, 0, 0, 1, 1
100, 5, 0, 0, 0, 4, 1
101, 19, 0, 0, 0, 11, 5
98, 8, 0, 0, 0, 5, 3
31, 19, 0, 0, 0, 7, 8
102, 5, 0, 0, 0, 2, 3
103, 76, 0, 0, 0, 54, 14
115, 3, 0, 0, 0, 0, 3
116, 2, 0, 0, 0, 0, 2
104, 30, 0, 0, 0, 19, 11
105, 4, 22, 14, 8, 2, 2
106, 9, 0, 0, 0, 6, 3
68, 297, 0, 0, 0, 182, 92
117, 1, 0, 0, 0, 0, 1
118, 1, 0, 0, 0, 0, 1
119, 1, 0, 0, 0, 0, 1
107, 5, 0, 0, 0, 4, 0
108, 3, 15, 3, 8, 2, 0
