u,v,embeddedness
Hermione1980,JIP,27
Hermione1980,Shimgray,15
Hermione1980,Gkhan (page does not exist),1
Hermione1980,Merovingian,29
Hermione1980,Titoxd,35
Hermione1980,Hermione1980,74
Hermione1980,Celestianpower,34
Hermione1980,CambridgeBayWeather,24
Hermione1980,Journalist,33
Hermione1980,Aranda56 (page does not exist),20
Hermione1980,Redwolf24,20
Hermione1980,Dmcdevit,17
Hermione1980,Albus Dumbledore (page does not exist),0
Hermione1980,Chosen One,0
Hermione1980,Draco Malfoy (page does not exist),0
Hermione1980,Mikkalai,0
Hermione1980,Tabor,0
Hermione1980,Aquillion,1
Hermione1980,Sjakkalle,33
Hermione1980,Gadfium,4
Hermione1980,Nandesuka,15
Hermione1980,FireFox,25
Hermione1980,Carbonite,8
Hermione1980,Biekko (page does not exist),1
Hermione1980,El C,20
Hermione1980,The wub,15
Hermione1980,Radiant!,13
Hermione1980,Haukurth,12
Hermione1980,Redvers,15
Hermione1980,Borisblue,9
Hermione1980,Friday,19
Hermione1980,Y0u,3
Hermione1980,Ral315,17
Hermione1980,Drini,20
Hermione1980,Tony Sidaway,2
Hermione1980,Evilphoenix,18
Hermione1980,Sonic Mew,1
Hermione1980,Unfocused,0
Hermione1980,Rogerd,22
Hermione1980,Splash,27
Hermione1980,Encephalon,26
Hermione1980,Who,29
Hermione1980,Kirill Lokshin,15
Hermione1980,Lupin,6
Hermione1980,Shauri,18
Hermione1980,R.D.H. (Ghost In The Machine),8
Hermione1980,Szyslak,5
Hermione1980,Lord Voldemort,7
Hermione1980,Xoloz,15
Hermione1980,Katefan0,18
Hermione1980,Thatdog,2
Hermione1980,NSR,1
Hermione1980,MONGO,31
Hermione1980,Astrotrain (page does not exist),2
Hermione1980,Private Butcher,14
Hermione1980,Freestylefrappe,28
Hermione1980,Filiocht,1
Hermione1980,WikiFanatic (page does not exist),4
Hermione1980,Gamaliel,2
Hermione1980,Hall Monitor,15
Hermione1980,Alkivar,28
Hermione1980,Dragons flight,8
Hermione1980,Francs2000,6
Hermione1980,Proto,20
Hermione1980,WereSpielChequers,1
Hermione1980,Tnxman307,1
Hermione1980,Deathphoenix,22
Hermione1980,BD2412,39
Hermione1980,Flcelloguy,21
Hermione1980,Fred_chessplayer,5
Hermione1980,Gryffindor,12
Hermione1980,Idont_havaname,15
Hermione1980,Lord_Voldemort,22
Hermione1980,Paolo_Liberatore,4
Hermione1980,Phil_Boswell,6
JIP,Babajobu,19
JIP,Saravask,10
JIP,Deathphoenix,38
JIP,Gator1,59
JIP,MarkGallagher_.28fuddlemark.29,32
JIP,23skidoo,17
JIP,A_Man_In_Black,12
JIP,AYArktos,15
JIP,.28aeropagitica.29,7
JIP,Alkivar,66
JIP,Android79,37
JIP,AndyZ,13
JIP,Angr,23
JIP,Anonymous_editor,17
JIP,BD2412,97
JIP,Banes,50
JIP,Bbatsell,17
JIP,Bmicomp,24
JIP,Bobet,18
JIP,Bobo192,8
JIP,BorgHunter,16
JIP,BorgQueen,12
JIP,Bovlb,9
JIP,Brighterorange,13
JIP,Brookie,17
JIP,CBDunkerson,30
JIP,CambridgeBayWeather,64
JIP,Can.27t_sleep.2C_clown_will_eat_me,34
JIP,Capitalistroadster,27
JIP,Cedar-Guardian,7
JIP,Celestianpower,76
JIP,Christopherlin,8
JIP,Circeus,10
JIP,Cleared_as_filed,13
JIP,Cyberjunkie,31
JIP,Cyde,31
JIP,DaGizza,45
JIP,Demi,17
JIP,Deskana,15
JIP,DrBob,10
JIP,Dsmdgold,10
JIP,Deltabeignet,5
JIP,Drini,55
JIP,Durin,27
JIP,Dustimagic,17
JIP,ESkog,29
JIP,Egil,14
