node_id, total_out, total_in, pos_in, neg_in, pos_out,neg_out
0, 29, 228, 199, 29, 24, 5
1, 95, 116, 95, 21, 71, 24
2, 0, 20, 20, 0, 0, 0
3, 11, 53, 48, 5, 11, 0
4, 1, 124, 109, 15, 1, 0
5, 79, 34, 33, 1, 74, 5
6, 17, 8, 8, 0, 17, 0
7, 29, 105, 47, 58, 21, 8
8, 185, 599, 481, 118, 102, 83
9, 39, 160, 151, 9, 38, 1
10, 15, 16, 16, 0, 15, 0
11, 330, 86, 85, 1, 329, 1
12, 0, 6, 4, 2, 0, 0
13, 15, 56, 18, 38, 15, 0
14, 73, 24, 20, 4, 60, 13
15, 2, 100, 99, 1, 2, 0
16, 157, 34, 33, 1, 142, 15
17, 23, 590, 547, 43, 23, 0
18, 15, 7, 6, 1, 15, 0
19, 29, 9, 9, 0, 28, 1
20, 0, 5, 3, 2, 0, 0
21, 52, 86, 47, 39, 18, 34
22, 3, 176, 175, 1, 3, 0
23, 1, 14, 14, 0, 1, 0
24, 3, 45, 40, 5, 2, 1
25, 85, 34, 25, 9, 29, 56
26, 2, 4, 1, 3, 0, 2
27, 0, 60, 13, 47, 0, 0
28, 1, 45, 14, 31, 0, 1
29, 69, 74, 43, 31, 69, 0
31, 0, 845, 831, 14, 0, 0
41, 0, 1727, 1708, 19, 0, 0
52, 17, 436, 404, 32, 17, 0
98, 81, 220, 211, 9, 81, 0
118, 19, 15, 15, 0, 16, 3
170, 201, 695, 531, 164, 201, 0
530, 366, 720, 599, 121, 365, 1
613, 3, 2, 2, 0, 3, 0
614, 202, 64, 42, 22, 135, 67
615, 17, 12, 11, 1, 17, 0
616, 187, 154, 136, 18, 184, 3
617, 11, 13, 10, 3, 2, 9
618, 29, 41, 25, 16, 29, 0
619, 11, 18, 11, 7, 9, 2
620, 80, 192, 171, 21, 51, 29
621, 1, 159, 130, 29, 1, 0
622, 128, 89, 56, 33, 84, 44
623, 0, 126, 89, 37, 0, 0
